BHR6762GL;Appliances > Cleaning appliances > Accessories;R 195;R 279;;;Xiaomi Robot Vacuum Mop Pad - S10+|S20+|X20 Pro|X20 Max|Mop 5|Mop 5 Pro;Xiaomi;Product URL;6 Months;;;77;https://www.syntech.co.za/product/xiaomi-robotvac-s10-mop-pad-2/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6560GL;Appliances > Cleaning appliances > Accessories;R 249;R 359;;;Xiaomi Robot Vacuum Disposable Bag - X10|X10+|X20+|X20 Pro|X20 Max |5| 5 Pro|H50|H50 Pro (5 Pack);Xiaomi;Product URL;1 Month;;;78;https://www.syntech.co.za/product/xiaomi-robot-vacuum-x10-and-x10-disposable-bag-5-pack/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6259TY;Appliances > Cleaning appliances > Accessories;R 20;R 619;;;Xiaomi Truclean W10 Ultra Wet Dry Vacuum Accessory Set;Xiaomi;Product URL;6 Months;;;79;https://www.syntech.co.za/product/xiaomi-truclean-w10-ultra-wet-dry-vacuum-accessory-set/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6846GL;Appliances > Cleaning appliances > Accessories;R 20;R 239;;;Xiaomi Truclean W10 Pro Wet Dry Vacuum Filter - 2 Pack;Xiaomi;Product URL;6 Months;;;80;https://www.syntech.co.za/product/xiaomi-truclean-w10-pro-filter-2-pack/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR8813GL;Appliances > Cleaning appliances > Accessories;R 155;R 219;;;Xiaomi Truclean W20 Wet Dry Vacuum Filter (2-Pack);Xiaomi;Product URL;6 Months;;;81;https://www.syntech.co.za/product/xiaomi-truclean-w20-wet-dry-vacuum-filter-2-pack/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR08GTGL;Appliances > Cleaning appliances > Accessories;R 219;R 309;;;Xiaomi Truclean W30 Pro Wet Dry Vacuum Brush;Xiaomi;;6 Months;;;82;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR8814GL;Appliances > Cleaning appliances > Accessories;R 228;R 329;;;Xiaomi Truclean W20 Wet Dry Vacuum Roller Brushbar;Xiaomi;Product URL;6 Months;;;83;https://www.syntech.co.za/product/xiaomi-truclean-w20-wet-dry-vacuum-roller-brushbar/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR08J8GL;Appliances > Cleaning appliances > Accessories;R 122;R 169;;;Xiaomi Vacuum Cleaner P30 Filter;Xiaomi;;6 Months;;;84;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR4681CN;Appliances > Cleaning appliances > Accessories;R 167;R 239;;;Xiaomi Vacuum Cleaner Mini HEPA Filter 2-Pack;Xiaomi;Product URL;6 Months;;;85;https://www.syntech.co.za/product/xiaomi-vacuum-mini-hepa-fltr-2-pack/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR4634CN;Appliances > Cleaning appliances > Accessories;R 173;R 249;;;Xiaomi Vacuum Cleaner Light HEPA Filter 2-Pack;Xiaomi;Product URL;6 Months;;;86;https://www.syntech.co.za/product/xiaomi-vacuum-light-hepa-fltr-2-pack/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR08C4GL;Appliances > Cleaning appliances > Accessories;R 183;R 259;;;Xiaomi Vacuum Cleaner G30 Max Filter Kit;Xiaomi;;6 Months;;;87;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR4615CN;Appliances > Cleaning appliances > Accessories;R 189;R 269;;;Xiaomi Vacuum Cleaner G10 Mop Kit;Xiaomi;Product URL;6 Months;;;88;https://www.syntech.co.za/product/xiaomi-vacuum-cleaner-g10-mop-kit/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6457CN;Appliances > Cleaning appliances > Accessories;R 198;R 279;;;Xiaomi Vacuum Cleaner G9 Plus/G10 Plus Filter Kit;Xiaomi;Product URL;6 Months;;;89;https://www.syntech.co.za/product/xiaomi-handh-vac-g9-g10-filter-kit/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR8803GL;Appliances > Cleaning appliances > Accessories;R 210;R 299;;;Xiaomi Vacuum Cleaner G20 / G20 Max Filter Kit;Xiaomi;Product URL;6 Months;;;90;https://www.syntech.co.za/product/xiaomi-vacuum-cleaner-g20-g20-max-filter-kit-post-filter-2-pre-filters/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR5985TY;Appliances > Cleaning appliances > Accessories;R 231;R 329;;;Xiaomi Vacuum Cleaner G11 Filter;Xiaomi;Product URL;6 Months;;;91;https://www.syntech.co.za/product/xiaomi-vacuum-cleaner-g11-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
